Belgium,BEL,CO2 emissions (kt),EN.ATM.CO2E.KT,,108543.2,107204.745,103658.756,104447.161,99306.027,110259.356,99969.754,95132.981,97501.863,93563.505,99346.364,96889.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108543.2,107204.745,103658.756,104447.161,99306.027,110259.356,99969.754,95132.981,97501.863,93563.505,99346.364,96889.474
Benin,BEN,CO2 emissions (kt),EN.ATM.CO2E.KT,,2394.551,3872.352,4495.742,4411.401,4660.757,5089.796,5060.46,4803.77,5042.125,5375.822,6065.218,6475.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394.551,3872.352,4495.742,4411.401,4660.757,5089.796,5060.46,4803.77,5042.125,5375.822,6065.218,6475.922
Burkina Faso,BFA,CO2 emissions (kt),EN.ATM.CO2E.KT,,1125.769,1360.457,1595.145,1789.496,1895.839,2104.858,2200.2,2698.912,2929.933,2959.269,3329.636,3417.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125.769,1360.457,1595.145,1789.496,1895.839,2104.858,2200.2,2698.912,2929.933,2959.269,3329.636,3417.644
Bangladesh,BGD,CO2 emissions (kt),EN.ATM.CO2E.KT,,39500.924,43567.627,44539.382,49625.511,54473.285,60223.141,63233.748,67670.818,69456.647,73758.038,81073.703,84245.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39500.924,43567.627,44539.382,49625.511,54473.285,60223.141,63233.748,67670.818,69456.647,73758.038,81073.703,84245.658
Bulgaria,BGR,CO2 emissions (kt),EN.ATM.CO2E.KT,,47916.689,48991.12,52254.75,50740.279,42665.545,44114.01,49354.153,44862.078,39599.933,42328.181,44737.4,41708.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47916.689,48991.12,52254.75,50740.279,42665.545,44114.01,49354.153,44862.078,39599.933,42328.181,44737.4,41708.458
Bahrain,BHR,CO2 emissions (kt),EN.ATM.CO2E.KT,,19878.807,19493.772,26846.107,29768.706,28217.565,29266.327,28848.289,27553.838,31407.855,31367.518,32892.99,31693.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19878.807,19493.772,26846.107,29768.706,28217.565,29266.327,28848.289,27553.838,31407.855,31367.518,32892.99,31693.881
"Bahamas, The",BHS,CO2 emissions (kt),EN.ATM.CO2E.KT,,1829.833,1778.495,1796.83,2361.548,1606.146,2387.217,1800.497,1906.84,2871.261,2350.547,2016.85,1785.829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829.833,1778.495,1796.83,2361.548,1606.146,2387.217,1800.497,1906.84,2871.261,2350.547,2016.85,1785.829
Bosnia and Herzegovina,BIH,CO2 emissions (kt),EN.ATM.CO2E.KT,,16204.473,17564.93,17652.938,20153.832,20703.882,21275.934,23886.838,22258.69,21921.326,19424.099,18569.688,21847.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16204.473,17564.93,17652.938,20153.832,20703.882,21275.934,23886.838,22258.69,21921.326,19424.099,18569.688,21847.986
Belarus,BLR,CO2 emissions (kt),EN.ATM.CO2E.KT,,59167.045,62071.309,60523.835,63105.403,61220.565,63043.064,64062.49,62969.724,63054.065,62801.042,58279.631,58279.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59167.045,62071.309,60523.835,63105.403,61220.565,63043.064,64062.49,62969.724,63054.065,62801.042,58279.631,58279.631
Belize,BLZ,CO2 emissions (kt),EN.ATM.CO2E.KT,,421.705,443.707,476.71,436.373,586.72,539.049,601.388,476.71,513.38,495.045,579.386,568.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.705,443.707,476.71,436.373,586.72,539.049,601.388,476.71,513.38,495.045,579.386,568.385
Bermuda,BMU,CO2 emissions (kt),EN.ATM.CO2E.KT,,583.053,652.726,729.733,649.059,476.71,608.722,443.707,366.7,509.713,649.059,557.384,612.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.053,652.726,729.733,649.059,476.71,608.722,443.707,366.7,509.713,649.059,557.384,612.389
Bolivia,BOL,CO2 emissions (kt),EN.ATM.CO2E.KT,,12185.441,15056.702,12332.121,13237.87,13872.261,15188.714,16299.815,18819.044,19149.074,20329.848,20073.158,21605.964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12185.441,15056.702,12332.121,13237.87,13872.261,15188.714,16299.815,18819.044,19149.074,20329.848,20073.158,21605.964
Brazil,BRA,CO2 emissions (kt),EN.ATM.CO2E.KT,,347308.904,347668.27,363212.683,387631.236,367147.374,419754.156,439412.943,470028.726,503677.118,533530.165,504388.516,462298.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347308.904,347668.27,363212.683,387631.236,367147.374,419754.156,439412.943,470028.726,503677.118,533530.165,504388.516,462298.69
Barbados,BRB,CO2 emissions (kt),EN.ATM.CO2E.KT,,1334.788,1360.457,1360.457,1620.814,1613.48,1477.801,1529.139,1470.467,1448.465,1254.114,1254.114,1276.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1334.788,1360.457,1360.457,1620.814,1613.48,1477.801,1529.139,1470.467,1448.465,1254.114,1254.114,1276.116
Brunei Darussalam,BRN,CO2 emissions (kt),EN.ATM.CO2E.KT,,5005.455,4862.442,8415.765,9119.829,7862.048,8203.079,9695.548,9666.212,7803.376,9053.823,7073.643,7664.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005.455,4862.442,8415.765,9119.829,7862.048,8203.079,9695.548,9666.212,7803.376,9053.823,7073.643,7664.03
Bhutan,BTN,CO2 emissions (kt),EN.ATM.CO2E.KT,,396.036,392.369,392.369,421.705,388.702,487.711,733.4,836.076,920.417,1037.761,1067.097,1261.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.036,392.369,392.369,421.705,388.702,487.711,733.4,836.076,920.417,1037.761,1067.097,1261.448
Botswana,BWA,CO2 emissions (kt),EN.ATM.CO2E.KT,,4096.039,4136.376,4231.718,4506.743,3887.02,4569.082,4033.7,5082.462,5669.182,6857.29,5430.827,6340.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4096.039,4136.376,4231.718,4506.743,3887.02,4569.082,4033.7,5082.462,5669.182,6857.29,5430.827,6340.243
Central African Republic,CAF,CO2 emissions (kt),EN.ATM.CO2E.KT,,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,286.026,289.693,293.36,297.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.688,249.356,253.023,253.023,253.023,264.024,278.692,293.36,286.026,289.693,293.36,297.027
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,,561425.034,571993.328,571846.648,561791.734,532191.71,527263.262,522774.854,517721.728,519188.528,540614.809,549430.277,544894.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561425.034,571993.328,571846.648,561791.734,532191.71,527263.262,522774.854,517721.728,519188.528,540614.809,549430.277,544894.198
Central Europe and the Baltics,CEB,CO2 emissions (kt),EN.ATM.CO2E.KT,,741005.358,767063.06,766714.695,751049.271,682626.718,713832.888,717019.511,678629.688,660844.738,634262.655,643961.87,656858.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741005.358,767063.06,766714.695,751049.271,682626.718,713832.888,717019.511,678629.688,660844.738,634262.655,643961.87,656858.709
Switzerland,CHE,CO2 emissions (kt),EN.ATM.CO2E.KT,,41444.434,41994.484,38107.464,40509.349,41767.13,39141.558,37183.38,37854.441,40432.342,35679.91,35672.576,34477.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41444.434,41994.484,38107.464,40509.349,41767.13,39141.558,37183.38,37854.441,40432.342,35679.91,35672.576,34477.134
Chile,CHL,CO2 emissions (kt),EN.ATM.CO2E.KT,,61818.286,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,79100.857,83244.567,85822.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61818.286,64814.225,71638.512,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,79100.857,83244.567,85822.468
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,,5896957.705,6529291.518,6697654.489,7553070.247,7557789.676,8776040.416,9733538.12,10028573.94,10258007.13,10291926.88,10145004.86,9893037.952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5896957.705,6529291.518,6697654.489,7553070.247,7557789.676,8776040.416,9733538.12,10028573.94,10258007.13,10291926.88,10145004.86,9893037.952
Cote d'Ivoire,CIV,CO2 emissions (kt),EN.ATM.CO2E.KT,,7825.378,6996.636,6776.616,6776.616,5658.181,6967.3,7245.992,9292.178,10681.971,11089.008,10960.663,9673.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7825.378,6996.636,6776.616,6776.616,5658.181,6967.3,7245.992,9292.178,10681.971,11089.008,10960.663,9673.546
Cameroon,CMR,CO2 emissions (kt),EN.ATM.CO2E.KT,,3696.336,3861.351,5834.197,5544.504,6725.278,6780.283,6299.906,6024.881,5020.123,6798.618,7928.054,8291.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3696.336,3861.351,5834.197,5544.504,6725.278,6780.283,6299.906,6024.881,5020.123,6798.618,7928.054,8291.087
"Congo, Dem. Rep.",COD,CO2 emissions (kt),EN.ATM.CO2E.KT,,1499.803,1609.813,1756.493,1859.169,1749.159,2020.517,2493.56,2405.552,3589.993,4671.758,2838.258,2020.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1499.803,1609.813,1756.493,1859.169,1749.159,2020.517,2493.56,2405.552,3589.993,4671.758,2838.258,2020.517
"Congo, Rep.",COG,CO2 emissions (kt),EN.ATM.CO2E.KT,,982.756,1118.435,1213.777,1309.119,1738.158,1972.846,2251.538,2962.936,3237.961,3157.287,3230.627,3281.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982.756,1118.435,1213.777,1309.119,1738.158,1972.846,2251.538,2962.936,3237.961,3157.287,3230.627,3281.965
Colombia,COL,CO2 emissions (kt),EN.ATM.CO2E.KT,,60945.54,62940.388,62430.675,68088.856,73288.662,77040.003,76926.326,80186.289,92734.763,86680.546,94109.888,97813.558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60945.54,62940.388,62430.675,68088.856,73288.662,77040.003,76926.326,80186.289,92734.763,86680.546,94109.888,97813.558
Comoros,COM,CO2 emissions (kt),EN.ATM.CO2E.KT,,139.346,161.348,102.676,106.343,132.012,161.348,135.679,143.013,176.016,154.014,168.682,201.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.346,161.348,102.676,106.343,132.012,161.348,135.679,143.013,176.016,154.014,168.682,201.685
Cabo Verde,CPV,CO2 emissions (kt),EN.ATM.CO2E.KT,,440.04,473.043,506.046,469.376,524.381,557.384,616.056,506.046,498.712,491.378,495.045,542.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.04,473.043,506.046,469.376,524.381,557.384,616.056,506.046,498.712,491.378,495.045,542.716
Costa Rica,CRI,CO2 emissions (kt),EN.ATM.CO2E.KT,,6868.291,7099.312,8122.405,8129.739,7902.385,7568.688,7374.337,7337.667,7719.035,7843.713,7513.683,8023.396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6868.291,7099.312,8122.405,8129.739,7902.385,7568.688,7374.337,7337.667,7719.035,7843.713,7513.683,8023.396
Caribbean small states,CSS,CO2 emissions (kt),EN.ATM.CO2E.KT,,56842.167,62397.672,63805.8,64051.489,61715.61,65419.28,63937.812,62746.037,65254.265,63710.458,63266.751,61722.944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56842.167,62397.672,63805.8,64051.489,61715.61,65419.28,63937.812,62746.037,65254.265,63710.458,63266.751,61722.944
Cuba,CUB,CO2 emissions (kt),EN.ATM.CO2E.KT,,26006.364,26505.076,25958.693,27942.54,28206.564,34114.101,29380.004,29746.704,27953.541,27623.511,29244.325,28283.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26006.364,26505.076,25958.693,27942.54,28206.564,34114.101,29380.004,29746.704,27953.541,27623.511,29244.325,28283.571
Curacao,CUW,CO2 emissions (kt),EN.ATM.CO2E.KT,,5999.212,5999.212,5999.212,5999.212,5999.212,5999.212,5999.212,5999.212,5214.474,5881.868,6395.248,5390.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5999.212,5214.474,5881.868,6395.248,5390.49
Cayman Islands,CYM,CO2 emissions (kt),EN.ATM.CO2E.KT,,473.043,484.044,572.052,583.053,557.384,557.384,586.72,535.382,535.382,546.383,557.384,546.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.043,484.044,572.052,583.053,557.384,557.384,586.72,535.382,535.382,546.383,557.384,546.383
Cyprus,CYP,CO2 emissions (kt),EN.ATM.CO2E.KT,,7502.682,7788.708,8195.745,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551,6138.558,6626.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7502.682,7788.708,8195.745,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551,6138.558,6626.269
Czech Republic,CZE,CO2 emissions (kt),EN.ATM.CO2E.KT,,120094.25,122092.765,123288.207,116716.943,107710.791,112745.582,107993.15,103350.728,102012.273,97160.832,99852.41,102217.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120094.25,122092.765,123288.207,116716.943,107710.791,112745.582,107993.15,103350.728,102012.273,97160.832,99852.41,102217.625
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,,797759.517,816721.574,781247.016,779296.172,720547.165,757880.892,729810.007,738141.431,757961.566,720363.815,727045.089,727972.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797759.517,816721.574,781247.016,779296.172,720547.165,757880.892,729810.007,738141.431,757961.566,720363.815,727045.089,727972.84
Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,,414.371,410.704,462.042,498.712,458.375,517.047,473.043,480.377,572.052,612.389,627.057,619.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.371,410.704,462.042,498.712,458.375,517.047,473.043,480.377,572.052,612.389,627.057,619.723
Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,,143.013,143.013,183.35,165.015,161.348,172.349,154.014,165.015,168.682,176.016,176.016,179.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.013,143.013,183.35,165.015,161.348,172.349,154.014,165.015,168.682,176.016,176.016,179.683
Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,,47062.278,55019.668,50318.574,47421.644,44488.044,45815.498,40656.029,36427.978,37253.053,33146.013,30817.468,31785.556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47062.278,55019.668,50318.574,47421.644,44488.044,45815.498,40656.029,36427.978,37253.053,33146.013,30817.468,31785.556
Dominican Republic,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,,18639.361,19783.465,21173.258,20711.216,20227.172,21022.911,21767.312,21965.33,21473.952,22145.013,24136.194,25258.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18639.361,19783.465,21173.258,20711.216,20227.172,21022.911,21767.312,21965.33,21473.952,22145.013,24136.194,25258.296
Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,,107278.085,101069.854,109404.945,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145411.218,153133.92,150005.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107278.085,101069.854,109404.945,110208.018,121399.702,119177.5,121187.016,129987.816,134465.223,145411.218,153133.92,150005.969
East Asia & Pacific (excluding high income),EAP,CO2 emissions (kt),EN.ATM.CO2E.KT,,6929102.534,7566735.833,7772136.778,8707515.638,8748576.025,10004234.7,11048097.03,11385465.48,11544822.47,11555273.67,11582531.13,11421388.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6929102.534,7566735.833,7772136.778,8707515.638,8748576.025,10004234.7,11048097.03,11385465.48,11544822.47,11555273.67,11582531.13,11421388.28
Early-demographic dividend,EAR,CO2 emissions (kt),EN.ATM.CO2E.KT,,5002330.716,5275272.86,5484214.853,5871105.355,6106486.418,6173610.853,6417011.645,6767855.537,6644240.967,7002352.853,7309544.777,7422679.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5002330.716,5275272.86,5484214.853,5871105.355,6106486.418,6173610.853,6417011.645,6767855.537,6644240.967,7002352.853,7309544.777,7422679.061
East Asia & Pacific,EAS,CO2 emissions (kt),EN.ATM.CO2E.KT,,9362921.05,10008085.99,10281497.77,11205668.32,11156119.81,12549251.46,13629697.14,13991440.09,14166073.99,14131065.78,14125802.08,13955922.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9362921.05,10008085.99,10281497.77,11205668.32,11156119.81,12549251.46,13629697.14,13991440.09,14166073.99,14131065.78,14125802.08,13955922.02
Europe & Central Asia (excluding high income),ECA,CO2 emissions (kt),EN.ATM.CO2E.KT,,2792648.497,2896398.725,2941111.747,2994923.241,2735409.651,2934784.441,3078948.879,3119439.893,3028791.653,2989433.742,2920996.521,2979371.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2792648.497,2896398.725,2941111.747,2994923.241,2735409.651,2934784.441,3078948.879,3119439.893,3028791.653,2989433.742,2920996.521,2979371.494
Europe & Central Asia,ECS,CO2 emissions (kt),EN.ATM.CO2E.KT,,6879559.032,7015318.803,6985332.291,6965499.498,6399238.807,6697917.011,6686151.957,6661329.711,6508718.052,6280567.769,6224889.121,6269012.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6879559.032,7015318.803,6985332.291,6965499.498,6399238.807,6697917.011,6686151.957,6661329.711,6508718.052,6280567.769,6224889.121,6269012.208
Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,,30263.751,28859.29,31924.902,33868.412,36068.612,36460.981,36482.983,32526.29,41451.768,46152.862,43270.6,41154.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30263.751,28859.29,31924.902,33868.412,36068.612,36460.981,36482.983,32526.29,41451.768,46152.862,43270.6,41154.741
"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,,167207.866,178586.567,189092.522,198586.385,206734.459,202715.427,217412.763,220108.008,214402.156,227852.712,224581.748,238560.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167207.866,178586.567,189092.522,198586.385,206734.459,202715.427,217412.763,220108.008,214402.156,227852.712,224581.748,238560.352
Euro area,EMU,CO2 emissions (kt),EN.ATM.CO2E.KT,,2751595.789,2752534.541,2705219.24,2641688.465,2442731.713,2496482.599,2400388.864,2351221.728,2309388.592,2191967.585,2237357.45,2228500.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2751595.789,2752534.541,2705219.24,2641688.465,2442731.713,2496482.599,2400388.864,2351221.728,2309388.592,2191967.585,2237357.45,2228500.891
Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,,766.403,550.05,564.718,407.037,502.379,502.379,579.386,645.392,652.726,711.398,693.063,711.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766.403,550.05,564.718,407.037,502.379,502.379,579.386,645.392,652.726,711.398,693.063,711.398
Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,,353462.13,350037.152,358236.564,329285.599,288237.201,270910.626,270547.593,264779.402,237034.88,233976.602,250496.437,244002.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353462.13,350037.152,358236.564,329285.599,288237.201,270910.626,270547.593,264779.402,237034.88,233976.602,250496.437,244002.18
Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,,16754.523,16175.137,18357.002,17018.547,14312.301,17781.283,18096.645,17146.892,19332.424,18173.652,16362.154,16589.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16754.523,16175.137,18357.002,17018.547,14312.301,17781.283,18096.645,17146.892,19332.424,18173.652,16362.154,16589.508
Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,,5119.132,5504.167,6024.881,6629.936,6673.94,6527.26,7135.982,8518.441,10410.613,12434.797,13718.247,14869.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5119.132,5504.167,6024.881,6629.936,6673.94,6527.26,7135.982,8518.441,10410.613,12434.797,13718.247,14869.685
European Union,EUU,CO2 emissions (kt),EN.ATM.CO2E.KT,,3497837.623,3530492.258,3475446.921,3394285.21,3129531.477,3217253.451,3120936.029,3027805.23,2966298.639,2821760.167,2867173.267,2881620.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3497837.623,3530492.258,3475446.921,3394285.21,3129531.477,3217253.451,3120936.029,3027805.23,2966298.639,2821760.167,2867173.267,2881620.536
Fragile and conflict affected situations,FCS,CO2 emissions (kt),EN.ATM.CO2E.KT,,596101.9846,586257.2945,552632.5079,613405.114,613401.4139,679474.7713,682830.7961,703603.3687,722116.8172,740973.7228,715668.6861,738491.9679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596101.9846,586257.2945,552632.5079,613405.114,613401.4139,679474.7713,682830.7961,703603.3687,722116.8172,740973.7228,715668.6861,738491.9679
Finland,FIN,CO2 emissions (kt),EN.ATM.CO2E.KT,,54777.646,65774.979,63739.794,56966.845,53395.187,61928.296,56662.484,49013.122,47164.954,47230.96,42606.873,45870.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54777.646,65774.979,63739.794,56966.845,53395.187,61928.296,56662.484,49013.122,47164.954,47230.96,42606.873,45870.503
